case_id,patient_mass_kg,K_factor,force_angle_deg,force_x_N,force_y_N,force_z_N,yield_strength_Pa,max_equivalent_vonmises_stress_Pa,max_principal_stress_Pa,max_total_deformation_m,safety_factor_equivalent_min,safety_factor_neck_min,safety_factor_stem1_min,safety_factor_stem2_min
DP_015,50,4.0,20,1843.68,0.0,671.04,827000000.0,492618044.5335374,503262929.2010941,0.000643848292402485,1.6787854386923455,1.678785438692346,1.799331100255561,5.154279759232407
DP_016,50,3.0,0,1471.5,0.0,0.0,827000000.0,456347657.8514831,502464548.2220867,0.000658608732225079,1.812214844913578,1.812214844913577,1.939681391227248,3.8077804829577335
DP_017,50,3.0,10,1449.14,0.0,255.52,827000000.0,419273223.1816056,446741206.47228235,0.0005795180481299746,1.9724608066415683,1.9724608066415676,2.1124912806780043,4.8274223856907765
DP_018,50,3.0,20,1382.76,0.0,503.28,827000000.0,369463536.12955976,377447200.1426411,0.00048288623412986423,2.238380568387122,2.238380568387122,2.3991081357689397,6.872373185515424
DP_019,50,3.5,0,1716.75,0.0,0.0,827000000.0,532405600.2913551,586208637.8808656,0.0007683768637987011,1.553327011487915,1.553327011487916,1.6625840212870389,3.263811921582215
DP_020,50,3.5,10,1690.67,0.0,298.11,827000000.0,489153778.05486447,521199721.5323443,0.0006761064936806774,1.6906748697487153,1.6906748697487148,1.8107006137496915,4.137781747916561
DP_021,50,3.5,20,1613.22,0.0,587.16,827000000.0,431040795.96459216,440355063.6954493,0.0005633672779107346,1.9186118987863365,1.9186118987863363,2.0563784205321114,5.890605271765618
DP_022,50,4.0,0,1962.0,0.0,0.0,827000000.0,608463538.7192695,669952736.7256393,0.0008781449362551206,1.35916114503873,1.3591611450387298,1.4547610551738932,2.8558353949668476
DP_023,50,4.0,10,1932.19,0.0,340.7,827000000.0,559031215.1467636,595654822.3508253,0.0007726904386703429,1.4793449410206656,1.4793449410206654,1.5843677681657853,3.6205765730847994
DP_024,50,4.0,20,1843.68,0.0,671.04,827000000.0,492618066.49665606,503262940.3307263,0.0006438482924032829,1.6787853638445753,1.678785363844575,1.7993311202813436,5.1542797525156585
DP_025,50,4.5,0,2207.25,0.0,0.0,827000000.0,684521479.455188,753696823.7804223,0.0009879130687792572,1.2081432428653822,1.2081432428653822,1.2931209319846004,2.5385203453399043
DP_026,50,4.5,10,2173.72,0.0,383.28,827000000.0,628912936.4400256,670115224.8672061,0.0008692815431310658,1.3149673859171196,1.3149673859171187,1.4083205646833346,3.218263111569981
DP_027,50,4.5,20,2074.14,0.0,754.92,827000000.0,554195311.7377663,566170796.8525635,0.0007243293654704807,1.4922536919462777,1.492253691946278,1.5994054594463238,4.5815819845629555
DP_028,50,5.0,0,2452.5,0.0,0.0,827000000.0,760579426.8070937,837440915.8890289,0.0010976811994019813,1.0873289111588769,1.0873289111588773,1.163808795529953,2.284668328683307
DP_029,50,5.0,10,2415.24,0.0,425.87,827000000.0,698790397.1801354,744570327.8563212,0.000965865547370381,1.183473618609007,1.1834736186090071,1.2674917347008734,2.8964490874958924
DP_030,50,5.0,20,2304.6,0.0,838.8,827000000.0,615772564.3978057,629078663.8703759,0.00080481037996263,1.343028331911416,1.3430283319114162,1.439464874994748,4.1234238691767535
DP_031,50,4.0,0,1962.0,0.0,0.0,827000000.0,608463546.1574506,669952736.7149054,0.0008781449362546888,1.3591611284236234,1.3591611284236236,1.4547610423838155,2.855835395449525
DP_032,50,4.0,10,1932.19,0.0,340.7,827000000.0,559031215.1467636,595654822.3508253,0.0007726904386703429,1.4793449410206656,1.4793449410206654,1.5843677681657853,3.6205765730847994
DP_033,50,4.0,20,1843.68,0.0,671.04,827000000.0,492618066.1510615,503262937.61286616,0.0006438482924032829,1.678785365022322,1.6787853650223217,1.7993311202385016,5.1542797525156585
DP_034,50,4.5,0,2207.25,0.0,0.0,827000000.0,684521479.455188,753696823.7804223,0.0009879130687792572,1.2081432428653822,1.2081432428653822,1.2931209319846004,2.5385203453399043
DP_035,50,4.5,10,2173.72,0.0,383.28,827000000.0,628912939.8572881,670115230.8116281,0.0008692815431308427,1.3149673787721103,1.31496737877211,1.408320541268115,3.2182631150376024
DP_036,50,4.5,20,2074.14,0.0,754.92,827000000.0,554195311.7377596,566170796.8525635,0.0007243293654704807,1.4922536919462956,1.4922536919462956,1.5994054594449538,4.5815819845629555
DP_037,50,5.0,0,2452.5,0.0,0.0,827000000.0,760579426.8068424,837440915.8880146,0.0010976811994019813,1.0873289111592361,1.087328911159236,1.163808795530668,2.284668328683307
DP_038,50,5.0,10,2415.24,0.0,425.87,827000000.0,698790397.375459,744570327.8553034,0.000965865547370381,1.1834736182782062,1.1834736182782062,1.2674917353948163,2.8964490875952515
DP_039,50,5.0,20,2304.6,0.0,838.8,827000000.0,615772564.3978072,629078663.8693533,0.00080481037996263,1.3430283319114127,1.3430283319114122,1.4394648749969676,4.1234238691767535
DP_040,50,5.5,0,2697.75,0.0,0.0,827000000.0,836637370.3147734,921185000.6927452,0.0012074493319266454,0.9884808273491925,0.9884808273491932,1.0580080169477113,2.076971187583589
DP_041,50,5.5,10,2656.77,0.0,468.46,827000000.0,768670941.7170155,819028837.8846296,0.0010624539929208617,1.075883001577622,1.0758830015776215,1.152262975288883,2.6331322759837867
DP_042,50,5.5,20,2535.06,0.0,922.68,827000000.0,677349829.6577704,691986533.1414942,0.0008852914537683769,1.2209348312936612,1.220934831293661,1.3086044511373602,3.7485671059539447
DP_043,50,6.0,0,2943.0,0.0,0.0,827000000.0,912695317.2812071,1004929096.4421444,0.001317217464450158,0.90610742088994,0.90610742088994,0.9698406957368492,1.9038902413942889
DP_044,50,6.0,10,2898.29,0.0,511.05,827000000.0,838548370.857396,893483954.1174631,0.0011590378786615401,0.9862281398918132,0.9862281398918132,1.05624324336954,2.4137125752088595
DP_045,50,6.0,20,2765.52,0.0,1006.57,827000000.0,738925902.2183943,754892519.6793338,0.0009657697513974976,1.1191920563580067,1.1191920563580064,1.199556024766263,3.4362101956624485
DP_046,60,2.0,0,1177.2,0.0,0.0,827000000.0,365078132.8301724,401971640.9451592,0.000526886950309444,2.265268515506255,2.265268515506255,2.424601673366235,4.75972569737682
DP_047,60,2.0,10,1159.32,0.0,204.42,827000000.0,335420587.3584667,357394941.0529762,0.0004636169632949312,2.4655612421195197,2.4655612421195197,2.6405983020702744,6.034255047092944
DP_048,60,2.0,20,1106.21,0.0,402.63,827000000.0,295570743.28777635,301957307.89749193,0.00038630826296925344,2.797976520953593,2.7979765209535934,2.9988861369352207,8.590528938611019
DP_049,60,2.5,0,1471.5,0.0,0.0,827000000.0,456347651.6160905,502464542.6310822,0.000658608732225367,1.812214869675119,1.8122148696751188,1.939681412602115,3.807780483036153
DP_050,60,2.5,10,1449.14,0.0,255.52,827000000.0,419273222.2324416,446741205.25539106,0.0005795180481301979,1.9724608111068873,1.9724608111068875,2.1124912767260304,4.827422211155521
DP_051,60,2.5,20,1382.76,0.0,503.28,827000000.0,369463538.5823732,377447200.1866616,0.0004828862341302631,2.238380553526847,2.2383805535268464,2.3991081504566005,6.872373175296374
DP_052,60,3.0,0,1765.8,0.0,0.0,827000000.0,547617184.4496233,602957452.891014,0.0007903304540729492,1.5101790511398347,1.510179051139835,1.616401155730658,3.173150469055704
DP_053,60,3.0,10,1738.97,0.0,306.63,827000000.0,503127782.5551197,536088998.8612196,0.0006954209742095466,1.643717617421373,1.6437176174213732,1.7604097272650836,4.02286579270799
DP_054,60,3.0,20,1659.31,0.0,603.94,827000000.0,443355157.3153517,452935207.12314224,0.0005794615177145745,1.865321709592221,1.865321709592221,1.9992617252562452,5.727015584881971
DP_055,60,3.5,0,2060.1,0.0,0.0,827000000.0,638886707.7291486,703450363.6072317,0.0009220521768709494,1.2944392018100972,1.294439201810097,1.3854866891363486,2.7198432589515584
DP_056,60,3.5,10,2028.8,0.0,357.73,827000000.0,586983526.5714552,625438673.2144512,0.0008113265600116779,1.4088981420491822,1.4088981420491815,1.5089197560243848,3.448155227867495
DP_057,60,3.5,20,1935.86,0.0,704.6,827000000.0,517246773.9228048,528423207.26438415,0.0006760367720117732,1.5988499913262362,1.5988499913262348,1.7136559888751983,4.908893642915449
DP_058,60,4.0,0,2354.4,0.0,0.0,827000000.0,730156253.2945656,803943275.8558884,0.001053773900619368,1.1326342769351931,1.1326342769351934,1.212300854617006,2.3798628575283205
DP_059,60,4.0,10,2318.63,0.0,408.84,827000000.0,670838081.7947656,714786465.4883876,0.0009272294260294933,1.232786304837432,1.232786304837432,1.320305260543406,3.017143853420095
DP_060,60,4.0,20,2212.41,0.0,805.25,827000000.0,591139576.3445232,603913087.1581191,0.0007726147428042977,1.3989927812209524,1.3989927812209524,1.4994479403216912,4.295260370313779
DP_061,60,3.0,0,1765.8,0.0,0.0,827000000.0,547617184.2306441,602957452.9380714,0.0007903304540729492,1.5101790517437197,1.51017905174372,1.6164011558181348,3.173150469055704
DP_062,60,3.0,10,1738.97,0.0,306.63,827000000.0,503127782.55513424,536088998.3943151,0.0006954209742095466,1.6437176174213255,1.6437176174213248,1.7604097278814064,4.02286579270799
DP_063,60,3.0,20,1659.31,0.0,603.94,827000000.0,443355149.5066861,452935209.7820711,0.0005794615177145745,1.865321742445507,1.8653217424455073,1.999261701224632,5.727015592576502
DP_064,60,3.5,0,2060.1,0.0,0.0,827000000.0,638886707.7291486,703450363.6072317,0.0009220521768709494,1.2944392018100972,1.294439201810097,1.385486689219467,2.7198432589515584
DP_065,60,3.5,10,2028.8,0.0,357.73,827000000.0,586983526.9606259,625438673.2200145,0.0008113265600116779,1.4088981411150812,1.4088981411150812,1.508919755111511,3.44815522800831
DP_066,60,3.5,20,1935.86,0.0,704.6,827000000.0,517246773.92276555,528423207.26336163,0.0006760367720117732,1.5988499913263574,1.598849991326356,1.7136559888783434,4.908893687757765
DP_067,60,4.0,0,2354.4,0.0,0.0,827000000.0,730156265.6603448,803943281.8903184,0.001053773900618888,1.1326342577531274,1.1326342577531274,1.21230083658646,2.37986284868841
DP_068,60,4.0,10,2318.63,0.0,408.84,827000000.0,670838081.4592355,714786465.4963324,0.0009272294260294933,1.2327863054540291,1.232786305454029,1.3203052605513843,3.0171438533122816
DP_069,60,4.0,20,2212.41,0.0,805.25,827000000.0,591139561.6765358,603913088.4810729,0.000772614742802702,1.3989928159342582,1.3989928159342582,1.4994478984429722,4.295260208537642
DP_070,60,4.5,0,2648.7,0.0,0.0,827000000.0,821425764.3872921,904436180.792169,0.0011854956825345711,1.0067860491530427,1.0067860491530425,1.0776007780835577,2.1154335999248497
DP_071,60,4.5,10,2608.46,0.0,459.94,827000000.0,754693796.8383912,804136138.3768269,0.0010431350118311775,1.095808662353551,1.0958086623535508,1.173603144673623,2.6818968185129286
DP_072,60,4.5,20,2488.96,0.0,905.91,827000000.0,665031191.164149,679401094.2887743,0.0008691899974683701,1.2435506950468318,1.2435506950468318,1.3328442600303552,3.818023379774955
DP_073,60,5.0,0,2943.0,0.0,0.0,827000000.0,912695303.2313418,1004929085.2621645,0.001317217464450734,0.9061074348383925,0.9061074348383924,0.969840706301554,1.9038902415180765
DP_074,60,5.0,10,2898.29,0.0,511.05,827000000.0,838548371.0522659,893483954.1626985,0.0011590378786615401,0.9862281396626241,0.9862281396626242,1.0562432433659823,2.4137125752088595
DP_075,60,5.0,20,2765.52,0.0,1006.57,827000000.0,738925882.5093157,754892522.2276444,0.0009657697513959019,1.1191920862097748,1.1191920862097748,1.199556015475417,3.4362101584468028
DP_076,60,4.0,0,2354.4,0.0,0.0,827000000.0,730156253.1537467,803943275.8558884,0.001053773900619416,1.1326342771536344,1.1326342771536342,1.2123008546418432,2.3798628575283205
DP_077,60,4.0,10,2318.63,0.0,408.84,827000000.0,670838081.7948827,714786465.4883876,0.0009272294260294933,1.2327863048372167,1.232786304837217,1.3203052605443324,3.017143853420095
DP_078,60,4.0,20,2212.41,0.0,805.25,827000000.0,591139576.3445421,603913087.1581191,0.0007726147428042977,1.3989927812209075,1.3989927812209075,1.4994479403265075,4.295260370313779
DP_079,60,4.5,0,2648.7,0.0,0.0,827000000.0,821425774.8676345,904436168.1459104,0.001185495682535051,1.0067860363077403,1.00678603630774,1.077600792826229,2.1154336002222007
DP_080,60,4.5,10,2608.46,0.0,459.94,827000000.0,754693798.3983107,804136138.3688818,0.0010431350118311775,1.0958086600885617,1.0958086600885617,1.17360314493988,2.6818968185981125
DP_081,60,4.5,20,2488.96,0.0,905.91,827000000.0,665031184.2494859,679401094.3619041,0.0008691899974691681,1.2435507079766528,1.243550707976653,1.332844268656082,3.818023346917152
DP_082,60,5.0,0,2943.0,0.0,0.0,827000000.0,912695303.2323484,1004929085.2621645,0.001317217464450734,0.9061074348373932,0.9061074348373932,0.9698407063005604,1.9038902415180765
DP_083,60,5.0,10,2898.29,0.0,511.05,827000000.0,838548371.0522659,893483954.1626985,0.0011590378786615401,0.9862281396626241,0.9862281396626242,1.0562432433671682,2.4137125752088595
DP_084,60,5.0,20,2765.52,0.0,1006.57,827000000.0,738925882.7192837,754892522.3227577,0.0009657697513959019,1.119192085891753,1.119192085891753,1.199556015476958,3.4362101584468028
DP_085,60,5.5,0,3237.3,0.0,0.0,827000000.0,1003964835.1183928,1105421998.7949286,0.001448939126230215,0.823734030388102,0.8237340303881024,0.8816733563180412,1.7308093432933556
DP_086,60,5.5,10,3188.12,0.0,562.15,827000000.0,922404117.4846455,982833622.216886,0.001274943523712882,0.8965701521966226,0.8965701521966226,0.960220161956991,2.194278386051016
DP_087,60,5.5,20,3042.07,0.0,1107.22,827000000.0,812818679.6720161,830382399.3824309,0.0010623477221876354,1.0174470895940855,1.0174470895940857,1.090505178841247,3.12381726340883
DP_088,60,6.0,0,3531.6,0.0,0.0,827000000.0,1095234368.8992467,1205914905.782028,0.0015806609081458983,0.7550895255699174,0.7550895255699174,0.80820057787581,1.586575234527852
DP_089,60,6.0,10,3477.95,0.0,613.26,827000000.0,1006258670.9113944,1072181419.4126605,0.0013908463897300278,0.8218562720567315,0.8218562720567314,0.8802021306707879,2.011425637409416
DP_090,60,6.0,20,3318.62,0.0,1207.88,827000000.0,886710298.8033969,905870419.5026517,0.001158923035429149,0.93266087144361,0.9326608714436098,0.9996308502560708,2.863507796288251
DP_091,70,2.0,0,1373.4,0.0,0.0,827000000.0,425924478.5340876,468966911.9555426,0.00061470149065912,1.9416587721050964,1.941658772105096,2.078230022976739,4.079764830493221
DP_092,70,2.0,10,1352.53,0.0,238.49,827000000.0,391320920.95791024,416957350.85972965,0.0005408819864446814,2.1133549363412407,2.1133549363412407,2.263387920397317,5.172266510705772
DP_093,70,2.0,20,1290.57,0.0,469.73,827000000.0,344830541.9144215,352281626.77016306,0.0004506905969707374,2.3982794430234695,2.39827944302347,2.5704887385573403,7.363336505311626
DP_094,70,2.5,0,1716.75,0.0,0.0,827000000.0,532405600.50662863,586208637.8818799,0.0007683768637987011,1.5533270108598407,1.5533270108598407,1.6625840214678156,3.263811921582215
DP_095,70,2.5,10,1690.67,0.0,298.11,827000000.0,489153778.15986913,521199721.5323443,0.0006761064936806774,1.690674869385785,1.6906748693857847,1.8107006137514337,4.137781747916561
DP_096,70,2.5,20,1613.22,0.0,587.16,827000000.0,431040795.9629169,440355060.9786117,0.0005633672779107346,1.9186118987937932,1.9186118987937937,2.0563784205366407,5.890605271765618
DP_097,70,3.0,0,2060.1,0.0,0.0,827000000.0,638886707.7293164,703450363.6072317,0.0009220521768709494,1.2944392018097575,1.294439201809757,1.3854866892830977,2.7198432589515584
DP_098,70,3.0,10,2028.8,0.0,357.73,827000000.0,586983523.1187357,625438679.9409957,0.0008113265600112316,1.408898150336519,1.4088981503365188,1.508919746708648,3.4481552308882453
DP_099,70,3.0,20,1935.86,0.0,704.6,827000000.0,517246772.8563048,528423203.99681395,0.0006760367720109752,1.5988499946228703,1.5988499946228707,1.7136559667874365,4.908893824534874
DP_100,70,3.5,0,2403.45,0.0,0.0,827000000.0,745367824.8810065,820692097.3938606,0.0010757275500104346,1.1095193170325344,1.1095193170325344,1.187560027851558,2.3312941552562596
DP_101,70,3.5,10,2366.94,0.0,417.35,827000000.0,684816361.1925049,729681050.3968979,0.0009465510668412954,1.2076230167163409,1.2076230167163409,1.293355525884889,2.9555481977600495
DP_102,70,3.5,20,2258.5,0.0,822.03,827000000.0,603453926.951011,616493227.2905679,0.0007887089829770219,1.3704443091098433,1.3704443091098435,1.4688495470102634,4.207621894492168
DP_103,70,4.0,0,2746.8,0.0,0.0,827000000.0,851848949.3854411,937933820.6884851,0.0012294029813175683,0.9708293948083541,0.970829394808354,1.039115001717553,2.0398824155301676
DP_104,70,4.0,10,2705.07,0.0,476.98,827000000.0,782644938.8889095,833918124.7738073,0.001081768414200297,1.0566732868343334,1.0566732868343327,1.1316894701403148,2.5861213303091386
DP_105,70,4.0,20,2581.15,0.0,939.46,827000000.0,689664188.4538366,704566667.4213071,0.0009013856346290864,1.1991343234075378,1.1991343234075376,1.2852385503801609,3.681644208125684
DP_106,70,3.0,0,2060.1,0.0,0.0,827000000.0,638886707.7291486,703450363.6072317,0.0009220521768709972,1.2944392018100972,1.294439201810097,1.3854866889711253,2.7198432589515584
DP_107,70,3.0,10,2028.8,0.0,357.73,827000000.0,586983526.9612112,625438673.2189965,0.0008113265600116779,1.4088981411136763,1.4088981411136765,1.508919755717966,3.44815522800831
DP_108,70,3.0,20,1935.86,0.0,704.6,827000000.0,517246766.8762397,528423203.99681395,0.0006760367720109752,1.5988500131077168,1.5988500131077168,1.7136559663924662,4.908893824534874
DP_109,70,3.5,0,2403.45,0.0,0.0,827000000.0,745367838.2021524,820692090.1849434,0.0010757275500109628,1.1095192972033066,1.109519297203307,1.1875600408771694,2.331294130993319
DP_110,70,3.5,10,2366.94,0.0,417.35,827000000.0,684816361.1925049,729681050.3968979,0.0009465510668412954,1.2076230167163409,1.2076230167163409,1.2933555258840006,2.9555481977600495
DP_111,70,3.5,20,2258.5,0.0,822.03,827000000.0,603453922.4040569,616493233.2680279,0.0007887089829754262,1.3704443194359792,1.3704443194359792,1.4688495295982849,4.207621900883556
DP_112,70,4.0,0,2746.8,0.0,0.0,827000000.0,851848957.0666661,937933824.0726237,0.00122940298131824,0.970829386054268,0.970829386054268,1.0391150117065049,2.0398824152466104
DP_113,70,4.0,10,2705.07,0.0,476.98,827000000.0,782644938.8889095,833918124.7738073,0.001081768414200297,1.0566732868343334,1.0566732868343327,1.1316894701403148,2.5861213303091386
DP_114,70,4.0,20,2581.15,0.0,939.46,827000000.0,689664188.4538451,704566667.4213071,0.0009013856346290864,1.199134323407523,1.1991343234075236,1.2852385503801609,3.681644208125684
DP_115,70,4.5,0,3090.15,0.0,0.0,827000000.0,958330076.549345,1055175558.9667189,0.001383078296290221,0.8629594544061221,0.8629594544061223,0.923657779458851,1.8132287785687855
DP_116,70,4.5,10,3043.2,0.0,536.6,827000000.0,880474672.8847655,938157064.704364,0.001216988479719195,0.9392660862014777,0.9392660862014776,1.0059472016187905,2.298775405728597
DP_117,70,4.5,20,2903.79,0.0,1056.89,827000000.0,775871338.4862883,792636694.5276775,0.001014057844856591,1.0658983764156862,1.0658983764156862,1.14243555626674,3.2725743378833294
DP_118,70,5.0,0,3433.5,0.0,0.0,827000000.0,1064811194.7504135,1172417272.8071723,0.0015367537275981702,0.7766635099979811,0.776663509997981,0.8312920156620442,1.6319059605236244
DP_119,70,5.0,10,3381.34,0.0,596.22,827000000.0,978307556.319738,1042399443.0646886,0.0013522129873613548,0.8453374346928927,0.8453374346928924,0.9053503068774592,2.0688908739582805
DP_120,70,5.0,20,3226.43,0.0,1174.33,827000000.0,862077300.3188307,880704824.0952824,0.0011267273389572341,0.9593107250291154,0.9593107250291156,1.0281943265844364,2.945335501377307
DP_121,70,4.0,0,2746.8,0.0,0.0,827000000.0,851848957.066834,937933824.0726237,0.00122940298131824,0.9708293860540768,0.9708293860540768,1.039115011560524,2.0398824152466104
DP_122,70,4.0,10,2705.07,0.0,476.98,827000000.0,782644935.4402652,833918114.8037113,0.001081768414200743,1.0566732914904555,1.0566732914904553,1.1316894671437543,2.586121327054729
DP_123,70,4.0,20,2581.15,0.0,939.46,827000000.0,689664190.0643167,704566668.3644897,0.0009013856346290864,1.1991343206073606,1.1991343206073604,1.2852385498125187,3.681644208125684
DP_124,70,4.5,0,3090.15,0.0,0.0,827000000.0,958330061.855647,1055175545.1995761,0.0013830782962908927,0.8629594676375402,0.8629594676375401,0.923657791885083,1.813228797149111
DP_125,70,4.5,10,3043.2,0.0,536.6,827000000.0,880474672.4953458,938157064.7063997,0.001216988479719195,0.9392660866168998,0.9392660866169,1.0059472020410631,2.298775405666013
DP_126,70,4.5,20,2903.79,0.0,1056.89,827000000.0,775871338.4862865,792636694.5276775,0.001014057844856591,1.0658983764156886,1.0658983764156884,1.14243555626674,3.2725743378833294
DP_127,70,5.0,0,3433.5,0.0,0.0,827000000.0,1064811194.7504135,1172417272.8071723,0.0015367537275981702,0.7766635099979811,0.776663509997981,0.8312920158456649,1.6319059605236244
DP_128,70,5.0,10,3381.34,0.0,596.22,827000000.0,978307556.319738,1042399443.0646886,0.0013522129873613548,0.8453374346928927,0.8453374346928924,0.905350306876588,2.0688908739582805
DP_129,70,5.0,20,3226.43,0.0,1174.33,827000000.0,862077300.3188307,880704824.0952824,0.0011267273389572341,0.9593107250291154,0.9593107250291156,1.0281943265844364,2.945335501377307
DP_130,70,5.5,0,3776.85,0.0,0.0,827000000.0,1171292307.451635,1289659016.1690278,0.0016904290406692187,0.7060577404450755,0.7060577404450755,0.7557200051141768,1.483550837588147
DP_131,70,5.5,10,3719.47,0.0,655.84,827000000.0,1076137295.814293,1146638383.7911377,0.0014874330536921321,0.768489302635148,0.7684893026351481,0.8230465090348458,1.8808109313888255
DP_132,70,5.5,20,3549.08,0.0,1291.76,827000000.0,948287572.3460203,968778269.0513109,0.0012394040499220944,0.8720983213499673,0.8720983213499672,0.934719639396838,2.677564604707635
DP_133,70,6.0,0,4120.2,0.0,0.0,827000000.0,1277773404.6259604,1406900739.885544,0.001844104353741035,0.6472196063918593,0.6472196063918594,0.6927433363683956,1.3599216298672887
DP_134,70,6.0,10,4057.6,0.0,715.47,827000000.0,1173965856.4131708,1250875465.5384607,0.001622650340990052,0.7044497891333408,0.7044497891333412,0.7544606326083488,1.7240835785082298
DP_135,70,6.0,20,3871.72,0.0,1409.19,827000000.0,1034494710.1692209,1056848280.6957047,0.0013520762008367973,0.7994240974559654,0.7994240974559655,0.8568269777283568,2.454434801993343
DP_136,80,2.0,0,1569.6,0.0,0.0,827000000.0,486770829.7558395,535962184.9047267,0.0007025159728412436,1.6989514355550368,1.698951435555037,1.8184512958430432,3.5697942455692564
DP_137,80,2.0,10,1545.75,0.0,272.56,827000000.0,447224362.65900815,476523174.81494576,0.0006181514504995392,1.8491836962615487,1.849183696261548,1.980462470297096,4.525727994186066
DP_138,80,2.0,20,1474.94,0.0,536.83,827000000.0,394093436.7840329,402609357.0332275,0.0005150774009461728,2.098487117036674,2.0984871170366746,2.2491695890824928,6.442862684766529
DP_139,80,2.5,0,1962.0,0.0,0.0,827000000.0,608463546.1574086,669952736.7149054,0.0008781449362546888,1.3591611284237173,1.3591611284237173,1.454761042384933,2.855835395449525
DP_140,80,2.5,10,1932.19,0.0,340.7,827000000.0,559031215.1467636,595654822.3508253,0.0007726904386703429,1.4793449410206656,1.4793449410206654,1.5843677681657853,3.6205765730847994
DP_141,80,2.5,20,1843.68,0.0,671.04,827000000.0,492618065.9564963,503262937.61286616,0.0006438482924032829,1.6787853656853775,1.678785365685378,1.7993311201316426,5.154279750287241
DP_142,80,3.0,0,2354.4,0.0,0.0,827000000.0,730156265.660177,803943281.8903184,0.001053773900618888,1.1326342577533879,1.132634257753388,1.21230083658646,2.37986284868841
DP_143,80,3.0,10,2318.63,0.0,408.84,827000000.0,670838081.4594698,714786465.4963324,0.0009272294260294933,1.2327863054535986,1.2327863054535984,1.3203052605532373,3.0171438525772953
DP_144,80,3.0,20,2212.41,0.0,805.25,827000000.0,591139576.0523524,603913087.1581191,0.0007726147428042977,1.3989927819124046,1.3989927819124046,1.4994479403192829,4.295260370313779
DP_145,80,3.5,0,2746.8,0.0,0.0,827000000.0,851848957.0681752,937933823.9110852,0.00122940298131824,0.9708293860525482,0.970829386052548,1.0391150114883696,2.0398824152466104
DP_146,80,3.5,10,2705.07,0.0,476.98,827000000.0,782644923.8716313,833918114.7861307,0.001081768414200743,1.0566733071096284,1.0566733071096286,1.1316894666268595,2.586121326673157
DP_147,80,3.5,20,2581.15,0.0,939.46,827000000.0,689664190.0643218,704566668.3644897,0.0009013856346290864,1.1991343206073517,1.1991343206073513,1.2852385501572932,3.681644208125684
DP_148,80,4.0,0,3139.2,0.0,0.0,827000000.0,973541660.0627124,1071924369.8114822,0.0014050319456824871,0.8494757172967075,0.8494757172967077,0.909225648194626,1.7848971227846282
